site_id,site_name,site_category,site_type,service,address,suburb,postcode,lhn_code,status,details,source
SAAS-543,ALDINGA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,186-196 PORT ROAD,ALDINGA,5173,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-544,AMERICAN RIVER STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 13 BUICK DRIVE,AMERICAN RIVER,5221,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-547,ARDROSSAN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,NORTH TERRACE,ARDROSSAN,5571,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-550,ASHFORD STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,24-28 ALEXANDER AVENUE,ASHFORD,5035,CALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-552,BALAKLAVA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,WAR MEMORIAL DRIVE,BALAKLAVA,5461,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-554,BARMERA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 674 LANGDON TERRACE,BARMERA,5345,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-545,BAROSSA VALLEY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,27 SCHILLING STREET,ANGASTON,5353,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-564,BERRI STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 801 CORNWALL STREET,BERRI,5343,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-566,BOOLEROO CENTRE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,3-13 STEPHENS STREET,BOOLEROO CENTRE,5482,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-567,BORDERTOWN STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,SEC 980 TATIARA TERRACE,BORDERTOWN,5268,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
