objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long,comment_,lhn_code
524,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CRYSTAL BROOK STATION,OPERATIONAL,35 BRANDIS STREET,CRYSTAL BROOK,SOUTH AUSTRALIA,5523,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-33.352945,138.208348,,,GASA_415513248,35 BRANDIS STREET,1,5523,CRYSTAL BROOK,13,-33.3528425,138.2084185,,YNLHN
525,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CUMMINS STATION,OPERATIONAL,19 TUMBY BAY ROAD,CUMMINS,SOUTH AUSTRALIA,5631,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.263653,135.732484,,,GASA_423016988,19 TUMBY BAY ROAD,1,5631,CUMMINS,2,-34.263675,135.7324839,,EFNLHN
609,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ELLISTON STATION,OPERATIONAL,4-6 MEMORIAL DRIVE,ELLISTON,SOUTH AUSTRALIA,5670,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-33.648014,134.892787,,,GASA_425444771,4-6 MEMORIAL DRIVE,0,5670,ELLISTON,22,-33.64785034,134.8926604,,EFNLHN
610,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,EUDUNDA STATION,OPERATIONAL,BRUCE STREET,EUDUNDA,SOUTH AUSTRALIA,5374,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.17101,139.084078,,,GASA_424292109,LOT 26 BRUCE STREET,-1,5374,EUDUNDA,4,-34.17099147,139.0841144,,BFHLHN
611,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,FULHAM STATION,OPERATIONAL,396 GRANGE ROAD,FULHAM GARDENS,SOUTH AUSTRALIA,5024,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.906515,138.519573,,,GASA_415755354,396 GRANGE ROAD,1,5024,FULHAM GARDENS,69,-34.90713972,138.5196159,,CALHN
612,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GAWLER DIVISION,OPERATIONAL,MURRAY STREET,GAWLER,SOUTH AUSTRALIA,5118,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.60588212,138.7497274,,,GASA_425110051,LOT 96 MURRAY STREET,0,5118,GAWLER,81,-34.60516075,138.7498791,,BFHLHN
613,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GAWLER STATION,OPERATIONAL,1B FIRST STREET,GAWLER SOUTH,SOUTH AUSTRALIA,5118,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.60750475,138.7488046,,,GASA_415461635,1 FIRST STREET,2,5118,GAWLER SOUTH,6,-34.6075498,138.7488284,,BFHLHN
674,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GILBERT VALLEY DIVISION,OPERATIONAL,16 TORRENS ROAD,RIVERTON,SOUTH AUSTRALIA,5412,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.15690952,138.7482413,,,GASA_415485155,16 TORRENS ROAD,1,5412,RIVERTON,0,-34.1569093,138.7482414,,YNLHN
614,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GLADSTONE STATION,OPERATIONAL,24 HIGH STREET,GLADSTONE,SOUTH AUSTRALIA,5473,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-33.268721,138.354,,,GASA_415701675,24 HIGH STREET,1,5473,GLADSTONE,9,-33.2687261,138.3539003,,YNLHN
690,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GLENELG DIVISION,OPERATIONAL,BRIGHTON ROAD,GLENELG EAST,SOUTH AUSTRALIA,5045,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.98428969,138.5229059,,,,,,,,,,,NO GNAF POINT,SALHN
739,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GOLDEN GROVE CADET DIVISION,OPERATIONAL,LOT 591 ENDEAVOUR DRIVE,WYNN VALE,SOUTH AUSTRALIA,5127,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.7975235,138.6818474,,,GASA_415018676,LOT 591 ENDEAVOUR DRIVE,-1,5127,WYNN VALE,26,-34.79772436,138.6816927,,NALHN
622,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GOOLWA DIVISION,OPERATIONAL,13 GARDINER STREET,GOOLWA,SOUTH AUSTRALIA,5214,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-35.49921232,138.7798063,,,GASA_415033151,13 GARDINER STREET,1,5214,GOOLWA,2,-35.49922596,138.7797896,,BFHLHN
623,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,GOOLWA STATION,OPERATIONAL,13 GARDINER STREET,GOOLWA,SOUTH AUSTRALIA,5214,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-35.499221,138.779757,,,GASA_415033151,13 GARDINER STREET,1,5214,GOOLWA,3,-35.49922596,138.7797896,,BFHLHN
624,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,HAMLEY BRIDGE STATION,OPERATIONAL,8 LIGHT,HAMLEY BRIDGE,SOUTH AUSTRALIA,5401,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.357153,138.682026,,,GASA_415172837,8 LIGHT STREET,1,5401,HAMLEY BRIDGE,20,-34.35732746,138.6819786,,YNLHN
619,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,HAPPY VALLEY DIVISION,OPERATIONAL,LOT 500 FLAXMILL ROAD,MORPHETT VALE,SOUTH AUSTRALIA,5162,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-35.12715156,138.5115158,,,GASA_424171445,LOT 500 FLAXMILL ROAD,-1,5162,MORPHETT VALE,21,-35.12729542,138.5113608,,SALHN
625,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,HAWKER STATION,OPERATIONAL,WIRREANDA TERRACE,HAWKER,SOUTH AUSTRALIA,5434,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-31.89352,138.427588,,,GASA_424341413,LOT 474 WIRREANDA TERRACE,0,5434,HAWKER,101,-31.89277984,138.4269692,,FUNLHN
626,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,JAMESTOWN STATION,OPERATIONAL,LOT 14 MUIRKIRK STREET,JAMESTOWN,SOUTH AUSTRALIA,5491,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-33.206654,138.604736,,,GASA_424194061,LOT 14 MUIRKIRK STREET,-1,5491,JAMESTOWN,22,-33.20647477,138.6048255,,YNLHN
627,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,KADINA DIVISION,OPERATIONAL,6 TAYLOR STREET,KADINA,SOUTH AUSTRALIA,5554,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-33.96347408,137.7106727,,,GASA_415517578,6 TAYLOR STREET,0,5554,KADINA,0,-33.9634742,137.7106729,,YNLHN
